book_id,category,category_id
7655,Biography & Autobiography,2
7656,Canadian Rockies (B.C. and Alta.),458
7657,Comics & Graphic Novels,12
7658,Fiction,5
7659,Juvenile Fiction,9
7660,Fiction,5
7661,Fiction,5
7662,Fiction,5
7663,Crafts & Hobbies,82
7664,Juvenile Fiction,9
7665,Family & Relationships,65
7666,Juvenile Fiction,9
7667,Family & Relationships,65
7668,Juvenile Fiction,9
7669,Computers,35
7670,Art,53
7671,History,1
7672,Fiction,5
7673,Fiction,5
7674,Sports & Recreation,71
7675,Blacks,459
7676,Computers,35
7677,Fiction,5
7678,"Body, Mind & Spirit",24
7679,Crafts & Hobbies,82
7680,Psychology,26
7681,Fiction,5
7682,Art,53
7683,Literary Criticism,115
7684,"Bible stories, English",460
7685,Fiction,5
7686,Juvenile Nonfiction,16
7687,Juvenile Fiction,9
7688,Church and state,461
7689,Foreign Language Study,102
7690,Literary Criticism,115
7691,Literary Criticism,115
7692,Biography & Autobiography,2
7693,Literary Collections,32
7694,Fiction,5
7695,Juvenile Fiction,9
7696,Self-Help,107
7697,Religion,25
7698,Literary Criticism,115
7699,Fiction,5
7700,History,1
7701,Juvenile Fiction,9
7702,Pediatrics,462
7703,Religion,25
7704,Language Arts & Disciplines,61
7705,Literary Criticism,115
7706,Fiction,5
7707,Language Arts & Disciplines,61
7708,Religion,25
7709,Fiction,5
7710,Fiction,5
7711,Technology & Engineering,109
7712,Medical,81
7713,Juvenile Nonfiction,16
7714,Juvenile Nonfiction,16
7715,History,1
7716,Fiction,5
7717,History,1
7718,Art,53
7719,History,1
7720,Juvenile Fiction,9
7721,History,1
7722,Sports & Recreation,71
7723,Fiction,5
7724,History,1
7725,Pets,140
7726,Fiction,5
7727,Juvenile Fiction,9
7728,Juvenile Fiction,9
7729,Fiction,5
7730,Psychology,26
7731,Business & Economics,21
7732,Computers,35
7733,Games & Activities,83
7734,Fiction,5
7735,Juvenile Nonfiction,16
7736,Fiction,5
7737,Computers,35
7738,Psychology,26
7739,Fiction,5
7740,Religion,25
7741,Business & Economics,21
7742,Computers,35
7743,Biography & Autobiography,2
7744,Juvenile Nonfiction,16
7745,Philosophy,67
7746,Biography & Autobiography,2
7747,Gardening,89
7748,Crafts & Hobbies,82
7749,Fiction,5
7750,Computers,35
7751,Computers,35
7752,Fiction,5
7753,Fiction,5
7754,Family & Relationships,65
7755,Psychology,26
7756,Fiction,5
7757,Biography & Autobiography,2
7758,"Body, Mind & Spirit",24
7759,Conduct of life,263
7760,Travel,85
7761,Biography & Autobiography,2
7762,Biography & Autobiography,2
7763,History,1
7764,Gardening,89
7765,Beowulf,463
7766,Language Arts & Disciplines,61
7767,Art,53
7768,"Body, Mind & Spirit",24
7769,Performing Arts,139
7770,Health & Fitness,75
7771,Juvenile Nonfiction,16
7772,Transportation,74
7773,Education,43
7774,Reiki (Healing system),464
7775,Mathematics,91
7776,Psychology,26
7777,Religion,25
7778,Biography & Autobiography,2
7779,Experimental fiction,465
