publisher_id,name
841,Chicago : University of Chicago Press
842,Chicago Childrens Museum
843,Chicago Review Press
844,"Chicago, Ill : The University of Chicago Press"
845,"Chicago, Rand McNally [1959]"
846,Chick Publications
847,Chicken House
848,Child Welfare League of Amer
849,Child's Play International
850,Child's World
851,Children's Book Press
852,Children's Book Press (CA)
853,Childrens Book Press
854,Childrens Press
855,Childs Play International Limited
856,Childs World Incorporated
857,Chin Music Press
858,Chivers North Amer
859,Chosen Books
860,Chosen Books Publishing Company
861,Chris Hart Books
862,Chris Nowinski
863,Christendom Press
864,Christian Classic
865,"Christian Faith Publishing, Inc."
866,Christian Fellowship Publishers
867,Christian Focus
868,Christian Focus Publications
869,Christian Large Print
870,Christian Liberty Press
871,Christian Literature Crusade
872,Christopher G. Moore
873,"Christopher Helm Publishers, Incorporated"
874,Chronicle Books
875,Chronicle Books Llc
876,ChronoSafe Media
877,"Church Publishing, Inc."
878,Churchill Livingstone
879,Cider Mill Press
880,Cinebook
881,Circlet Press
882,Circuit Cellar
883,Cisco Press
884,Cisco Systems
885,Cistercian Studies
886,Citadel
887,Citadel Press
888,City Lights Books
889,City Lights Publishers
890,City Owl Press
891,CityOwl+ORM
892,Civitas Books
893,Cladach Pub
894,Claidi Journals (Paperback)
895,Clarendon Press
896,Clarion Books
897,Clarkson Potter
898,Clarkson Potter Publishers
899,Class Publishing Ltd
900,Classical Comics
901,Classics of War
902,Clear Light Pub
903,ClearQuran.com
904,Clearfield Group
905,Cleis Press
906,Cleis Press Inc
907,Cleis Press Start
908,Clements Publishing Group
909,Cliff Notes
910,Cliffhanger
911,Cliffs Notes
912,Clásicos Ilustrados
913,Coach House Books
914,Codex Books
915,Coffee House Press
916,Colchis Books
917,Colin Smythe Limited
918,Collector's Library
919,Collector's Wodehouse
920,College Press
921,Collie in the Realm
922,Collins
923,Collins & Brown
924,Collins &amp; Brown
925,Collins Pub San Francisco
926,Collins Publishers
927,Collins Reference
928,Colonial Williamsburg
929,Colonial Williamsburg Foundation
930,Columba Press (IE)
931,Columbia University Press
932,Comics Lit
933,Common Reader Editions
934,Commonwealth Secretariat
935,Communication Project
936,Companion Press
937,Company's Coming Publishing Limited
938,Compendium Incorporated
939,Complete
940,Computing McGraw-Hill
941,Comstock Book Distributors
942,Comstock Publishing Associates
943,Conan of Cimmeria (Paperback)
944,Conari Press
945,Concept Books
946,"Conciliar Press Ministries, Inc."
947,Concord Mousetrap
948,Concord Theatricals
949,Connections Book Publishing
950,Conran
951,Conran Octopus
952,Consensus Group Inc.
953,Constable
954,Contemporary Books
955,Contemporary French Fiction
956,Continuum
957,Convergent Books
958,Cooper Pub
959,Cooper Square Pub
960,Copp Clark
961,"Copp, Clark"
962,Copper Canyon Classics
963,Copper Canyon Press
964,Copperhill Media
965,"Copyright Office, Library of Congress"
966,Corgi
967,Corgi Books
968,Coriolis Group
969,Cornell Maritime Press/Tidewater Publishers
970,Cornell University Press
971,CornerStone Leadership Inst
972,Cornerstone
973,Cornerstone Books
974,Coronet
975,Coronet Books Incorporated
976,Corsair
977,"Corte Madera, Calif. : Waite Group Press"
978,Corwin
979,Corwin Press
980,Cosimo Classics
981,"Cosimo, Inc."
982,Costume & Fashion Press
983,Council Oak Books
984,Council on Foreign Relations
985,Counterpoint
986,Counterpoint LLC
987,Countryman Press
988,Courage Books
989,Courier Corporation
990,Courier Dover Publications
991,Course Technology
992,Course Technology Ptr
993,Covenant Communications Incorporated
994,Cover Publishing Company
995,Cover to Cover
996,Coyote Canyon Press
997,Craftsman Book Company
998,Crcs Publications
999,CreateSpace
1000,Createspace Independent Pub
1001,Createspace Independent Publishing Platform
1002,Creation Books
1003,Creation Liberty Evangelism
1004,Creation Publishing Group
1005,Creative Bound Incorporated
1006,Creative Company
1007,Creative Homeowner Press
1008,Creative Pub International
1009,Creative Publishing Int'l
1010,Creative Publishing International
1011,Creative Publishing int'l
1012,Crescent
1013,Crestline
1014,Cricket Books
1015,Crimeline
1016,Crocodile Books
1017,Crooked Lane Books
1018,Crossing Press
1019,Crossquarter Breeze
1020,Crossroad
1021,Crossroad 8 Avenue
1022,Crossroad Classic
1023,Crossroad Faith & Formation
1024,Crossroad Press
1025,Crossroad Publishing
1026,Crossroad Publishing Company
1027,Crossway
1028,Crossway Bibles
1029,Crossway Books
1030,Crown
1031,Crown Archetype
1032,Crown Books For Young Readers
1033,Crown Business
1034,Crown Forum
1035,Crown Pub
1036,Crown Publishing Group (NY)
1037,Crowood
1038,Crowood Press (UK)
1039,Crowood Press UK
1040,Crux PressInc
1041,Crystal Clarity Pubs
1042,Crystal Ink Pub
1043,Css Limited
1044,Culture
1045,Cumberland Games & Diversions
1046,Cumberland House
1047,Cumberland House Publishing
1048,Cune
1049,Curbstone Books
1050,Currency
1051,Current Protocols
1052,"Custer, WA : Orca Book Publishers"
1053,Cypher Books
1054,Cypress House
1055,D & M Publishers
1056,"D A W Books, Incorporated"
1057,DAW Hardcover
1058,DC
1059,DC Comics
1060,DEBOLS!LLO
1061,DEBOLSILLO
1062,DH Publishing Inc
1063,DIANE Publishing
1064,DIGITAL FIRE
1065,DK
1066,DK Children
1067,DK Eyewitness Travel
1068,DK Publishing (Dorling Kindersley)
1069,DRG Wholesale
1070,DSP Publications
1071,Da Capo
1072,Da Capo Lifelong Books
1073,Da Capo Press
1074,"Da Capo Press, Incorporated"
1075,DaVinci Publishing
1076,Dafina
1077,Dafina Books
1078,Dageforde Publishing
1079,Daily Racing Form
1080,Daimon
1081,Dake Publishing
1082,Dale Seymour Publication
1083,Dalkey Archive Press
1084,Dan Millman
1085,Dan Pinck
1086,Dan Ryckert
1087,Dangerous Press
1088,Daniel & Daniel Pub
1089,Danielle Ward Do
1090,Darby Creek
1091,Dark Harvest Books
1092,Dark Horse
1093,Dark Horse Books
1094,Dark Horse Comics
1095,Dark Queen Saga
1096,Darolt Books
1097,Darwin's Radio
1098,David & Charles
1099,David & Charles Publishers
1100,David Bull Pub
1101,David C Cook
1102,David C. Cook
1103,David Fickling Books
1104,David McKay Company
1105,David Morrell
1106,David Phillip Pub
1107,David R Godine Pub
1108,David R. Godine Publisher
1109,Davis
1110,Daw Books
1111,Dawn Publications
1112,Dawn Publications (CA)
1113,Dawn Sign Press
1114,Dc Comics
1115,Dc Press
1116,De Boeck Supérieur
1117,De Borsillo
1118,De Fontein Romans & Spanning
1119,DeVorss & Company
1120,Dean W. Arnold
1121,Dearborn Real Estate
1122,Dearborn Trade Publishing
1123,"Debbie Macomber, Incorporated"
1124,Debbie Wicker
1125,Debolsillo
1126,Deborah A. Cooke
1127,Dedalus Europe 1998 S
1128,Deep Vellum Publishing
1129,Del Rey
1130,Del Rey Books
1131,Delacorte Books for Young Readers
1132,Delacorte Press
1133,Delacorte Press Books for Young Readers
1134,Delacorte Publications Incorporated
1135,Dell
1136,Dell Books
1137,Dell Publishing Company
1138,Delmar Pub
1139,"Delmarva Publications, Inc."
1140,Delphi Classics
1141,Delta
1142,Delta Publishing Company(CA)
1143,Demos Medical Publishing
1144,Derek Padula
1145,Deseret Book
1146,Deseret Book Company
1147,Designs Direct Publishing
1148,Destiny Books
1149,Destiny Image Messianic
1150,Destiny Image Pub
1151,Destiny Image Publishers
1152,Devil's Mark Publishing
1153,Devorss Publications
1154,Dey Street Books
1155,DiaMedica Publications
1156,Dial
1157,Dial Books
1158,Dial Books for Young Readers
1159,Dial Press
1160,Dial Press Trade Paperback
1161,Dialog Press
1162,Diamond Pocket Books Pvt Ltd
1163,Diane Kinman
1164,Diane Publishing Company
1165,DigiCat
1166,Digireads.Com
1167,"Digital Manga, Inc."
1168,Digital Press
1169,Dinah Dinwiddie
1170,Direct Authors
1171,Disc Us Books Incorporated
1172,Discovery House Pub
1173,Disinformation Books
1174,Disinformation Company
1175,Disney Books for Young Readers
1176,Disney Editions
1177,Disney Electronic Content
1178,Disney Press
1179,Disney-Hyperion
1180,Disruptive Pub
1181,Dissertation.com
1182,Dissertations-G
1183,Distribooks
1184,Diversion Books
1185,Diversion Publishing Corp.
1186,Dk Ink
1187,Dk Pub
1188,Documentext
1189,Dodd Mead
1190,Dog Ear Publishing
