author,author_id
Tania Zamorsky,937
James Matthew Barrie,938
Donna Woolfolk Cross,939
Leonard Mlodinow,940
Michael Scott,941
Kate Klise,942
Sue Miller,943
Agatha Christie,944
Tennessee Williams,945
Joyce Sidman,946
James Wesley Rawles,947
Karen Marie Moning,948
Penelope Fitzgerald,949
Gary Taubes,950
Dalai Lama XIV Bstan-ʼdzin-rgya-mtsho,951
Howard C. Cutler,952
Sarah Orne Jewett,953
Anita Shreve,954
Peter Balaam,955
Pope Brock,956
Jonah Goldberg,957
Sharon Kay Penman,958
Alice Schroeder,959
Linda Dillow,960
Lorraine Pintus,961
Malcolm Pryce,962
Robert B. Strassler,963
Travis Bradberry,964
Jean Greaves,965
Grant R. Jeffrey,966
Mary Downing Hahn,967
Marion Zimmer Bradley,968
Lisa Tawn Bergren,969
William Stallings,970
R. F. Delderfield,971
David M. Beazley,972
Elsa Morante,973
William Weaver,974
Mary Balogh,975
R. L. Stine,976
Catherine Anderson,977
Dawn Jeffers,978
Thomas Stearns Eliot,979
Leonard Pitts,980
IIBA,981
International Institute of Business Analysis,982
Irma Joyce,983
Lori Wick,984
Stanley A. Schultz,985
Marguerite J. Schultz,986
Kay Arthur,987
B. J. Lawson,988
David Lawson,989
Gabriela Brimmer,990
Gaby Brimmer,991
Elena Poniatowska,992
Thomas Ligotti,993
Richard Cozzens,994
Harry Lee Kraus,995
John Hafnor,996
Will Eisner,997
Steven P. Shelov,998
Mark Alan Stewart,999
Annette Blair,1000
Stephen P. Robbins,1001
Tim Judge,1002
Immanuel Velikovsky,1003
Gurmukh Kaur Khalsa,1004
Ken Wilber,1005
Swami Sivananda Radha,1006
Craig L. Blomberg,1007
Kim Echlin,1008
Herman Melville,1009
Don Colbert,1010
Edward G. Nawy,1011
Barbara Minto,1012
Ethan Coen,1013
Jim Chambers,1014
David Alan Black,1015
Roger Hargreaves,1016
Tahir Wasti,1017
Roger Toogood,1018
Jack E. Zecher,1019
John Eliot Allen,1020
Marjorie Burns,1021
Scott Burns,1022
Terry A. Slocum,1023
Robert B. McMaster,1024
Fritz C. Kessler,1025
Hugh H. Howard,1026
Lamin O. Sanneh,1027
Patrick Alexander,1028
Cisco Wheeler,1029
Lawrence Beesley,1030
Aesop,1031
Markus E. Adams,1032
Patricia Daniels,1033
Barbara Bradley Hagerty,1034
David Arthur DeSilva,1035
Peter F. Oliva,1036
Shimon Gibson,1037
Terry Bisson,1038
Peggy M. Houghton,1039
Timothy J. Houghton,1040
David Crowder,1041
Mike Hogan,1042
Ruth Park,1043
Mordecai Richler,1044
Emmanuelle Arsan,1045
Thomas B. Buell,1046
Bill Cotter,1047
Deborah Taylor-Hough,1048
Rita Mae Brown,1049
John Steinbeck,1050
Ivan Damjanov,1051
"Sarah J. Buckley, M.D.",1052
Alexander Beiner,1053
R. D. Bartlett,1054
Patricia Bartlett,1055
Brian M. Fagan,1056
Julia Strachey,1057
Frances Partridge,1058
Mark D. Faram,1059
William Secord,1060
Kay Hooper,1061
Esther S. Grassian,1062
Joan R. Kaplowitz,1063
Connie Mack,1064
Rich Westcott,1065
Jane Roberts Wood,1066
Dana Fuller Ross,1067
Brian Vanden Brink,1068
Jane Langton,1069
Elizabeth E. Heilman,1070
M. A. Harris,1071
Morris Levitt,1072
Roger Furman,1073
Ernest Smith,1074
James Hall,1075
Judith M. Schultz,1076
Sheila L. Videbeck,1077
Beth Alder,1078
Rebecca L. Thomas,1079
Catherine Barr,1080
Jason Thompson,1081
Emily Rodda,1082
Valerie L. Winslow,1083
Dana Canedy,1084
The Images Publishing Group,1085
Jon Hotten,1086
A. J. Tata,1087
James Paul Stevens,1088
Elizabeth Petty Bentley,1089
Jaap Jacobs,1090
David Pressman,1091
Richard Stim,1092
Eric Friginal,1093
R. W. B. Lewis,1094
Edmund Lindop,1095
Ray Prouty,1096
September Morn,1097
Naomi Kleinberg,1098
A. Iserles,1099
Harold Bloom,1100
Sterling Professor of the Humanities Harold Bloom,1101
Pope Gregory I,1102
Terrence Kardong,1103
Edgar Allan Poe,1104
T. Tyler Potterfield,1105
Corinne Maier,1106
Howard Zinn,1107
Anthony Arnove,1108
Joël Robuchon,1109
Alvin Silverstein,1110
Virginia B. Silverstein,1111
Laura Silverstein Nunn,1112
David Herbert Donald,1113
Bill Bryson,1114
Jez Alborough,1115
Yeon Hee Park,1116
Yeon Hwan Park,1117
Jon Gerrard,1118
Ginger Wadsworth,1119
Whitney Lowe,1120
Thomas A. Hollihan,1121
Mark Browning,1122
Evgeniĭ Petrov,1123
Konstantin Gurevich,1124
Joanne Turner-Sadler,1125
Martin M. Antony,1126
Richard P. Swinson,1127
Bernd Polster,1128
Claudia Newman,1129
Markus Schuler,1130
Frederick Leven,1131
Satoshi Kitamura,1132
LearningExpress (Organization),1133
Lynne Ann DeSpelder,1134
Albert Lee Strickland,1135
Eknath Easwaran,1136
Roald Dahl,1137
Alexander McCall Smith,1138
Robin Waterfield,1139
Charlotte Brontë,1140
John Ronald Reuel Tolkien,1141
Sarah Addison Allen,1142
Nora Ephron,1143
Winifred Watson,1144
Sara Donati,1145
Lisa Ann Sandell,1146
Chip Heath,1147
Dan Heath,1148
Mildred Armstrong Kalish,1149
Ralph J. Fletcher,1150
Colin Cotterill,1151
William Hope Hodgson,1152
Mike Ashley,1153
Sheila Walsh,1154
Carol Plum-Ucci,1155
Alane Ferguson,1156
Sheila Connolly,1157
Sinclair Lewis,1158
Alison Bechdel,1159
Lynne Spears,1160
Ben Mezrich,1161
Eve Bunting,1162
Randy Alcorn,1163
Tami Hoag,1164
Herbert Asbury,1165
A. Scott Berg,1166
Taylor Caldwell,1167
Carolyn Coman,1168
Rodolphe Kasser,1169
Marvin Meyer,1170
Gregor Wurst,1171
James Rollins,1172
Harold Abelson,1173
Ken Ledeen,1174
Harry R. Lewis,1175
Nic Bishop,1176
Liz Tigelaar,1177
Karleen Koen,1178
